input,target
dail,ᱫᱟᱭᱞ
dail,दाइल
ᱫᱟᱭᱞ,Lentils
jilu,meat
जीलु,ᱡᱤᱞᱩ
jilu,ᱡᱤᱞᱩ
jilu,जीलु
ᱡᱤᱞᱩ,meat
haku,fish
हाकू,ᱦᱟᱠᱩ
haku,ᱦᱟᱠᱩ
haku,हाकू
ᱦᱟᱠᱩ,fish
katkom,crab
कटकोम,ᱠᱚᱛᱠᱚᱢ
katkom,ᱠᱚᱛᱠᱚᱢ
katkom,कटकोम
ᱠᱚᱛᱠᱚᱢ,crab
aḍa,saag
अड़आ,ᱟᱰᱟᱭ
aḍa,ᱟᱰᱟᱭ
aḍa,अड़आ
ᱟᱰᱟᱭ,saag
sunum,oil
सुनुम,ᱥᱩᱱᱩᱢ
sunum,ᱥᱩᱱᱩᱢ
sunum,सुनुम
ᱥᱩᱱᱩᱢ,oil
cini,sugar
चीनी,ᱪᱤᱱᱤ
cini,ᱪᱤᱱᱤ
cini,चीनी
ᱪᱤᱱᱤ,sugar
rasuṇḍi,garlic
रसुण्डी,ᱨᱟᱥᱩᱱᱰᱤ
rasuṇḍi,ᱨᱟᱥᱩᱱᱰᱤ
rasuṇḍi,रसुण्डी
ᱨᱟᱥᱩᱱᱰᱤ,garlic
adi,Ginger
आदि,ᱟᱰᱤ
adi,ᱟᱰᱤ
adi,आदि
ᱟᱰᱤ,Ginger
thaḍi,plate
थाड़ी,ᱛᱟᱰᱤ
thaḍi,ᱛᱟᱰᱤ
thaḍi,थाड़ी
ᱛᱟᱰᱤ,plate
ḍubhni,bowl
डुभनी,ᱰᱩᱵᱷᱱᱤ
ḍubhni,ᱰᱩᱵᱷᱱᱤ
ḍubhni,डुभनी
ᱰᱩᱵᱷᱱᱤ,bowl
sibil,tasty
सिबिल,ᱥᱤᱵᱤᱞ
sibil,ᱥᱤᱵᱤᱞ
sibil,सिबिल
ᱥᱤᱵᱤᱞ,tasty
saba,Tasteless
सबअ:,ᱥᱟᱵᱟᱹ
saba,ᱥᱟᱵᱟᱹ
saba,सबअ:
ᱥᱟᱵᱟᱹ,Tasteless
Hot (Spicy),haḍaḍ
हड़द,ᱦᱟᱰᱟᱰ
Hot (Spicy),ᱦᱟᱰᱟᱰ
Hot (Spicy),हड़द
ᱦᱟᱰᱟᱰ,haḍaḍ
haṭing,Distribute 
हाटिंग,ᱦᱟᱴᱤᱝ
haṭing,ᱦᱟᱴᱤᱝ
haṭing,हाटिंग
ᱦᱟᱴᱤᱝ,Distribute 
isin,Cook
इसिन,ᱤᱥᱤᱱ
isin,ᱤᱥᱤᱱ
isin,इसिन
ᱤᱥᱤᱱ,Cook
dub,sit
दुब,ᱫᱩᱵ
dub,ᱫᱩᱵ
dub,दुब
ᱫᱩᱵ,sit
abung,wash
अबुंग,ᱟᱵᱩᱝ
abung,ᱟᱵᱩᱝ
abung,अबुंग
ᱟᱵᱩᱝ,wash
tii:,hand
तीइ:,ᱛᱤᱤᱹ
tii:,ᱛᱤᱤᱹ
tii:,तीइ:
ᱛᱤᱤᱹ,hand
Cleaning Utensils,gasar
गसर,ᱜᱟᱥᱟᱨ
Cleaning Utensils,ᱜᱟᱥᱟᱨ
Cleaning Utensils,गसर
ᱜᱟᱥᱟᱨ,gasar
meher,Bitter
मेहेर,ᱢᱮᱦᱮᱨ
meher,ᱢᱮᱦᱮᱨ
meher,मेहेर
ᱢᱮᱦᱮᱨ,Bitter
reyạḍ da:,cold water
रेयड़ दअ:,ᱨᱮᱭᱰ ᱫᱟᱹ
reyạḍ da:,ᱨᱮᱭᱰ ᱫᱟᱹ
reyạḍ da:,रेयड़ दअ:
ᱨᱮᱭᱰ ᱫᱟᱹ,cold water
lolo da:,hot water
लोलो दअ:,ᱞᱚᱞᱚ ᱫᱟᱹ
lolo da:,ᱞᱚᱞᱚ ᱫᱟᱹ
lolo da:,लोलो दअ:
ᱞᱚᱞᱚ ᱫᱟᱹ,hot water
bing,snake
बींग,ᱵᱤᱝ
bing,ᱵᱤᱝ
bing,बींग
ᱵᱤᱝ,snake
choke,frog
चोके,ᱪᱚᱠᱮ
choke,ᱪᱚᱠᱮ
choke,चोके
ᱪᱚᱠᱮ,frog
tuyu,fox
तुयु,ᱛᱩᱭᱩ
tuyu,ᱛᱩᱭᱩ
tuyu,तुयु
ᱛᱩᱭᱩ,fox
sukri,pig
सुकरी,ᱥᱩᱠᱨᱤ
sukri,ᱥᱩᱠᱨᱤ
sukri,सुकरी
ᱥᱩᱠᱨᱤ,pig
mindi,sheep
मिंडी,ᱢᱤᱝᱰᱤ
mindi,ᱢᱤᱝᱰᱤ
mindi,मिंडी
ᱢᱤᱝᱰᱤ,sheep
sandi,Rooster
सांडी,ᱥᱟᱱᱰᱤ
sandi,ᱥᱟᱱᱰᱤ
sandi,सांडी
ᱥᱟᱱᱰᱤ,Rooster
khasi,goat
खासी,ᱠᱷᱟᱥᱤ
khasi,ᱠᱷᱟᱥᱤ
khasi,खासी
ᱠᱷᱟᱥᱤ,goat
ranu,Medicine
रानू,ᱨᱟᱱᱩ
ranu,ᱨᱟᱱᱩ
ranu,रानू
ᱨᱟᱱᱩ,Medicine
billai,cat
बिल्लई,ᱵᱤᱞᱞᱟᱭ
billai,ᱵᱤᱞᱞᱟᱭ
billai,बिल्लई
ᱵᱤᱞᱞᱟᱭ,cat
keda,buffalo
केडा,ᱠᱮᱰᱟ
keda,ᱠᱮᱰᱟ
keda,केडा
ᱠᱮᱰᱟ,buffalo
seta,morning
सेतअ:,ᱥᱮᱴᱟ:
seta,ᱥᱮᱴᱟ:
seta,सेतअ:
ᱥᱮᱴᱟ:,morning
meyang hulang,Day After Tomorrow
मेयांग हुलांग,ᱢᱮᱭᱟᱝ ᱦᱩᱞᱟᱝ
meyang hulang,ᱢᱮᱭᱟᱝ ᱦᱩᱞᱟᱝ
meyang hulang,मेयांग हुलांग
ᱢᱮᱭᱟᱝ ᱦᱩᱞᱟᱝ,Day After Tomorrow
hola,yesterday
होला,ᱦᱚᱞᱟ
hola,ᱦᱚᱞᱟ
hola,होला
ᱦᱚᱞᱟ,yesterday
ising / tising,today
इसिंग / तिसिंग,ᱤᱥᱤᱝ / ᱴᱤᱥᱤᱝ
ising / tising,ᱤᱥᱤᱝ / ᱴᱤᱥᱤᱝ
ising / tising,इसिंग / तिसिंग
ᱤᱥᱤᱝ / ᱴᱤᱥᱤᱝ,today
thala nida,midnight
थाला निदा,ᱛᱟᱞᱟ ᱱᱤᱰᱟ
thala nida,ᱛᱟᱞᱟ ᱱᱤᱰᱟ
thala nida,थाला निदा
ᱛᱟᱞᱟ ᱱᱤᱰᱟ,midnight
holather,Day Before Yesterday
होलाथेर,ᱦᱚᱞᱟᱛᱮᱨ
holather,ᱦᱚᱞᱟᱛᱮᱨ
holather,होलाथेर
ᱦᱚᱞᱟᱛᱮᱨ,Day Before Yesterday
gappa,Tomorrow
गप्पा,ᱜᱟᱯᱯᱟ
gappa,ᱜᱟᱯᱯᱟ
gappa,गप्पा
ᱜᱟᱯᱯᱟ,Tomorrow
janaw,always
जनाव,ᱡᱟᱱᱟᱣ
janaw,ᱡᱟᱱᱟᱣ
janaw,जनाव
ᱡᱟᱱᱟᱣ,always
oko hulang,which day
ओको हुलांग,ᱳᱠᱳ ᱦᱩᱞᱟᱝ
oko hulang,ᱳᱠᱳ ᱦᱩᱞᱟᱝ
oko hulang,ओको हुलांग
ᱳᱠᱳ ᱦᱩᱞᱟᱝ,which day
chiula, Which Day
चिउला,ᱪᱤᱩᱞᱟ
chiula,ᱪᱤᱩᱞᱟ
chiula,चिउला
ᱪᱤᱩᱞᱟ, Which Day
nudum,Evening
नुदुम,ᱱᱩᱰᱩᱢ
nudum,ᱱᱩᱰᱩᱢ
nudum,नुदुम
ᱱᱩᱰᱩᱢ,Evening
gede,duck
गेडे,ᱜᱮᱰᱮ
gede,ᱜᱮᱰᱮ
gede,गेडे
ᱜᱮᱰᱮ,duck
bhadudi,bat
भादुडी,ᱵᱷᱟᱰᱩᱰᱤ
bhadudi,ᱵᱷᱟᱰᱩᱰᱤ
bhadudi,भादुडी
ᱵᱷᱟᱰᱩᱰᱤ,bat
Pigeon,peagon
पुतम,ᱯᱩᱴᱚᱢ
Pigeon,ᱯᱩᱴᱚᱢ
Pigeon,पुतम
ᱯᱩᱴᱚᱢ,peagon
maraa,Peacock
मराअ:,ᱢᱟᱨᱟᱚ
maraa,ᱢᱟᱨᱟᱚ
maraa,मराअ:
ᱢᱟᱨᱟᱚ,Peacock
gidi,Vulture
गिदी,ᱜᱤᱰᱤ
gidi,ᱜᱤᱰᱤ
gidi,गिदी
ᱜᱤᱰᱤ,Vulture
sugga,parrot
सुग्गा,ᱥᱩᱜᱜᱟ
sugga,ᱥᱩᱜᱜᱟ
sugga,सुग्गा
ᱥᱩᱜᱜᱟ,parrot
alu,potato
आलु,ᱟᱞᱩ
alu,ᱟᱞᱩ
alu,आलु
ᱟᱞᱩ,potato
toko,tomato
टोको,ᱴᱚᱠᱚ
toko,ᱴᱚᱠᱚ
toko,टोको
ᱴᱚᱠᱚ,tomato
gol bhata,tomato
गोल भटा,ᱜᱚᱞ ᱵᱷᱟᱴᱟ
gol bhata,ᱜᱚᱞ ᱵᱷᱟᱴᱟ
gol bhata,गोल भटा
ᱜᱚᱞ ᱵᱷᱟᱴᱟ,tomato
pyaj,onion 
प्याज,ᱯᱭᱟᱡ
pyaj,ᱯᱭᱟᱡ
pyaj,प्याज
ᱯᱭᱟᱡ,onion 
bhedwa,lady finger/okra
भेड़वा,ᱵᱷᱮᱰᱣᱟ
bhedwa,ᱵᱷᱮᱰᱣᱟ
bhedwa,भेड़वा
ᱵᱷᱮᱰᱣᱟ,lady finger/okra
Morai,radish
मोराई,मोराई
Morai,मोराई
Morai,मोराई
मोराई,radish
tayor,cucmber
तयर,ᱛᱟᱭᱚᱨ
tayor,ᱛᱟᱭᱚᱨ
tayor,तयर
ᱛᱟᱭᱚᱨ,cucmber
louwa,bottle gourd
लउवा,ᱞᱚᱣᱟ
louwa,ᱞᱚᱣᱟ
louwa,लउवा
ᱞᱚᱣᱟ,bottle gourd
suku,pumpkin
सुकु,ᱥᱩᱠᱩ
suku,ᱥᱩᱠᱩ
suku,सुकु
ᱥᱩᱠᱩ,pumpkin
marchi,chili
मरचि,ᱢᱟᱨᱪᱤ
marchi,ᱢᱟᱨᱪᱤ
marchi,मरचि
ᱢᱟᱨᱪᱤ,chili
palak adaa,spinach
पलंका अड़आ:,ᱯᱟᱞᱟᱝᱠᱟ ᱟᱰᱟ:
palak adaa,ᱯᱟᱞᱟᱝᱠᱟ ᱟᱰᱟ:
palak adaa,पलंका अड़आ:
ᱯᱟᱞᱟᱝᱠᱟ ᱟᱰᱟ:,spinach
munu,january
मुनु,ᱢᱩᱱᱩ
munu,ᱢᱩᱱᱩ
munu,मुनु
ᱢᱩᱱᱩ,january
pagu,february
पागु,ᱯᱟᱜᱩ
pagu,ᱯᱟᱜᱩ
pagu,पागु
ᱯᱟᱜᱩ,february
ba,march
बा,ᱵᱟ
ba,ᱵᱟ
ba,बा
ᱵᱟ,march
piramaili,april
पिरमइली,ᱯᱤᱨᱢᱟᱭᱤᱞᱤ
piramaili,ᱯᱤᱨᱢᱟᱭᱤᱞᱤ
piramaili,पिरमइली
ᱯᱤᱨᱢᱟᱭᱤᱞᱤ,april
jete,may
जेटे,ᱡᱮᱴᱮ
jete,ᱡᱮᱴᱮ
jete,जेटे
ᱡᱮᱴᱮ,may
judka,june
जुड़का,ᱡᱩᱰᱠᱟ
judka,ᱡᱩᱰᱠᱟ
judka,जुड़का
ᱡᱩᱰᱠᱟ,june
jalika,july
जलिका,ᱡᱟᱞᱤᱠᱟ
jalika,ᱡᱟᱞᱤᱠᱟ
jalika,जलिका
ᱡᱟᱞᱤᱠᱟ,july
sagita,august
सगिता,ᱥᱜᱤᱛᱟ
sagita,ᱥᱜᱤᱛᱟ
sagita,सगिता
ᱥᱜᱤᱛᱟ,august
sutiom,septmeber
सुतिअम,ᱥᱩᱴᱤᱚᱢ
sutiom,ᱥᱩᱴᱤᱚᱢ
sutiom,सुतिअम
ᱥᱩᱴᱤᱚᱢ,septmeber
indi,october
इंदि,ᱤᱱᱰᱤ
indi,ᱤᱱᱰᱤ
indi,इंदि
ᱤᱱᱰᱤ,october
agahan,november
अगहन,ᱟᱜᱷᱟᱱ
agahan,ᱟᱜᱷᱟᱱ
agahan,अगहन
ᱟᱜᱷᱟᱱ,november
mage,december
मागे,ᱢᱟᱜᱮ
mage,ᱢᱟᱜᱮ
mage,मागे
ᱢᱟᱜᱮ,december
haga,brother
हागा,ᱦᱟᱜᱟ
haga,ᱦᱟᱜᱟ
haga,हागा
ᱦᱟᱜᱟ,brother
dada,elder brother
दादा,ᱰᱟᱰᱟ
dada,ᱰᱟᱰᱟ
dada,दादा
ᱰᱟᱰᱟ,elder brother
misi,sister
मिसी,ᱢᱤᱥᱤ
misi,ᱢᱤᱥᱤ
misi,मिसी
ᱢᱤᱥᱤ,sister
nana,elder sister
नाना,ᱱᱟᱱᱟ
nana,ᱱᱟᱱᱟ
nana,नाना
ᱱᱟᱱᱟ,elder sister
kaka,Uncle
कका,ᱠᱟᱠᱟ
kaka,ᱠᱟᱠᱟ
kaka,कका
ᱠᱟᱠᱟ,Uncle
kaki,aunty
ककी,ᱠᱟᱠᱤ
kaki,ᱠᱟᱠᱤ
kaki,ककी
ᱠᱟᱠᱤ,aunty
mamu,Maternal Uncle
ममु,ᱢᱟᱢᱩ
mamu,ᱢᱟᱢᱩ
mamu,ममु
ᱢᱟᱢᱩ,Maternal Uncle
mami,Maternal Aunty
ममी,ᱢᱟᱢᱤ
mami,ᱢᱟᱢᱤ
mami,ममी
ᱢᱟᱢᱤ,Maternal Aunty
hili,Wife of Elder Brother
हिलि,ᱦᱤᱞᱤ
hili,ᱦᱤᱞᱤ
hili,हिलि
ᱦᱤᱞᱤ,Wife of Elder Brother
gati,friend
गाती,ᱜᱟᱛᱤ
gati,ᱜᱟᱛᱤ
gati,गाती
ᱜᱟᱛᱤ,friend
kanṭhaṛ,jackfruit
कंठड़,ᱠᱟᱧᱛᱚᱰ
kanṭhaṛ,ᱠᱟᱧᱛᱚᱰ
kanṭhaṛ,कंठड़
ᱠᱟᱧᱛᱚᱰ,jackfruit
bar hisi miyad,Forty-one
बर हिसि मियद,᱔᱑
bar hisi miyad,᱔᱑
bar hisi miyad,बर हिसि मियद
᱔᱑,Forty-one
bar hisi bariya,Forty-two
बर हिसि बरिया,᱔᱒
bar hisi bariya,᱔᱒
bar hisi bariya,बर हिसि बरिया
᱔᱒,Forty-two
bar hisi apiya,Forty-three
बर हिसि अपिया,᱔᱓
bar hisi apiya,᱔᱓
bar hisi apiya,बर हिसि अपिया
᱔᱓,Forty-three
bar hisi upna,Forty-four
बर हिसि उपना,᱔᱔
bar hisi upna,᱔᱔
bar hisi upna,बर हिसि उपना
᱔᱔,Forty-four
bar hisi modeya,Forty-five
बर हिसि मोड़ेया,᱔᱕
bar hisi modeya,᱔᱕
bar hisi modeya,बर हिसि मोड़ेया
᱔᱕,Forty-five
bar hisi turiya,Forty-six
बर हिसि तुरिया,᱔᱖
bar hisi turiya,᱔᱖
bar hisi turiya,बर हिसि तुरिया
᱔᱖,Forty-six
bar hisi eya,Forty-seven
बर हिसि एया,᱔᱗
bar hisi eya,᱔᱗
bar hisi eya,बर हिसि एया
᱔᱗,Forty-seven
bar hisi erliya,Forty-eight
बर हिसि एरलिया,᱔᱘
bar hisi erliya,᱔᱘
bar hisi erliya,बर हिसि एरलिया
᱔᱘,Forty-eight
bar hisi ariya,Forty-nine
बर हिसि अरिया ,᱔᱙
bar hisi ariya,᱔᱙
bar hisi ariya,बर हिसि अरिया 
᱔᱙,Forty-nine
bar hisi geleya,Fifty
बर हिसि गेलेया,᱕᱐
bar hisi geleya,᱕᱐
bar hisi geleya,बर हिसि गेलेया
᱕᱐,Fifty
madukam ,Mahua
महुआ,ᱢᱟᱫᱩᱠᱟᱢ
madukam ,ᱢᱟᱫᱩᱠᱟᱢ
madukam ,महुआ
ᱢᱟᱫᱩᱠᱟᱢ,Mahua
bar hisi gel miyad,Fifty-One
बर हिसि गेल मियद,᱕᱑
bar hisi gel miyad,᱕᱑
bar hisi gel miyad,बर हिसि गेल मियद
᱕᱑,Fifty-One
bar hisi gel bariya,Fifty-two
बर हिसि गेल बरिया,᱕᱒
bar hisi gel bariya,᱕᱒
bar hisi gel bariya,बर हिसि गेल बरिया
᱕᱒,Fifty-two
bar hisi gel apiya,Fifty-three
बर हिसि गेल अपिया,᱕᱓
bar hisi gel apiya,᱕᱓
bar hisi gel apiya,बर हिसि गेल अपिया
᱕᱓,Fifty-three
bar hisi gel upna,Fifty-four
बर हिसि गेल उपना,᱕᱔
bar hisi gel upna,᱕᱔
bar hisi gel upna,बर हिसि गेल उपना
᱕᱔,Fifty-four
bar hisi gel modeya,Fifty-five
बर हिसि गेल मोड़ेया,᱕᱕
bar hisi gel modeya,᱕᱕
bar hisi gel modeya,बर हिसि गेल मोड़ेया
᱕᱕,Fifty-five
bar hisi gel turiya,Fifty-six
बर हिसि गेल तुरिया,᱕᱖
bar hisi gel turiya,᱕᱖
bar hisi gel turiya,बर हिसि गेल तुरिया
᱕᱖,Fifty-six
bar hisi gel eya,Fifty-seven
बर हिसि गेल एया,᱕᱗
bar hisi gel eya,᱕᱗
bar hisi gel eya,बर हिसि गेल एया
᱕᱗,Fifty-seven
bar hisi gel erliya,Fifty-Eight
बर हिसि गेल एरलिया,᱕᱘
bar hisi gel erliya,᱕᱘
bar hisi gel erliya,बर हिसि गेल एरलिया
᱕᱘,Fifty-Eight
bar hisi gel ariya,Fifty-nine
बर हिसि गेल अरिया,᱕᱙
bar hisi gel ariya,᱕᱙
bar hisi gel ariya,बर हिसि गेल अरिया
᱕᱙,Fifty-nine
api hisi,sixty
अपि हिसि,᱖᱐
api hisi,᱖᱐
api hisi,अपि हिसि
᱖᱐,sixty
api hisi miyad,sixty-one
अपि हिसि मियद,᱖᱑
api hisi miyad,᱖᱑
api hisi miyad,अपि हिसि मियद
᱖᱑,sixty-one
api hisi bariya,sixty-two
अपि हिसि बरिया,᱖᱒
api hisi bariya,᱖᱒
api hisi bariya,अपि हिसि बरिया
᱖᱒,sixty-two
api hisi apiya,sixty-three
अपि हिसि अपिया,᱖᱓
api hisi apiya,᱖᱓
api hisi apiya,अपि हिसि अपिया
᱖᱓,sixty-three
api hisi upna,sixty-four
अपि हिसि उपना,᱖᱔
api hisi upna,᱖᱔
api hisi upna,अपि हिसि उपना
᱖᱔,sixty-four
api hisi modeya,sixty-five
अपि हिसि मोड़ेया,᱖᱕
api hisi modeya,᱖᱕
api hisi modeya,अपि हिसि मोड़ेया
᱖᱕,sixty-five
api hisi turiya,sixty-six
अपि हिसि तुरिया,᱖᱖
api hisi turiya,᱖᱖
api hisi turiya,अपि हिसि तुरिया
᱖᱖,sixty-six
api hisi eya,sixty-seven
अपि हिसि एया,᱖᱗
api hisi eya,᱖᱗
api hisi eya,अपि हिसि एया
᱖᱗,sixty-seven
api hisi erliya,sixty-eight
अपि हिसि एरलिया,᱖᱘
api hisi erliya,᱖᱘
api hisi erliya,अपि हिसि एरलिया
᱖᱘,sixty-eight
api hisi ariya,sixty-nine
अपि हिसि अरिया,᱖᱙
api hisi ariya,᱖᱙
api hisi ariya,अपि हिसि अरिया
᱖᱙,sixty-nine
api hisi geleya,seventy
अपि हिसि गेलेया,᱗᱐
api hisi geleya,᱗᱐
api hisi geleya,अपि हिसि गेलेया
᱗᱐,seventy
upun hisi miyad,Eighty-One
उपुन हिसि मियद,᱘᱑
upun hisi miyad,᱘᱑
upun hisi miyad,उपुन हिसि मियद
᱘᱑,Eighty-One
upun hisi bariya,Eighty-two
उपुन हिसि बरिया,᱘᱒
upun hisi bariya,᱘᱒
upun hisi bariya,उपुन हिसि बरिया
᱘᱒,Eighty-two
upun hisi apiya,Eighty-three
उपुन हिसि अपिया,᱘᱓
upun hisi apiya,᱘᱓
upun hisi apiya,उपुन हिसि अपिया
᱘᱓,Eighty-three
upun hisi upna,Eighty-four
उपुन हिसि उपना,᱘᱔
upun hisi upna,᱘᱔
upun hisi upna,उपुन हिसि उपना
᱘᱔,Eighty-four
upun hisi modeya,Eighty-five
उपुन हिसि मोड़ेया,᱘᱕
upun hisi modeya,᱘᱕
upun hisi modeya,उपुन हिसि मोड़ेया
᱘᱕,Eighty-five
upun hisi turiya,Eighty-six
उपुन हिसि तुरिया,᱘᱖
upun hisi turiya,᱘᱖
upun hisi turiya,उपुन हिसि तुरिया
᱘᱖,Eighty-six
upun hisi eya,Eighty-seven
उपुन हिसि एया,᱘᱗
upun hisi eya,᱘᱗
upun hisi eya,उपुन हिसि एया
᱘᱗,Eighty-seven
upun hisi erliya,Eighty-eight
उपुन हिसि एरलिया,᱘᱘
upun hisi erliya,᱘᱘
upun hisi erliya,उपुन हिसि एरलिया
᱘᱘,Eighty-eight
upun hisi ariya,Eighty-nine
उपुन हिसि अरिया,᱘᱙
upun hisi ariya,᱘᱙
upun hisi ariya,उपुन हिसि अरिया
᱘᱙,Eighty-nine
upun hisi geleya,ninty
उपुन हिसि गेलेया,᱙᱐
upun hisi geleya,᱙᱐
upun hisi geleya,उपुन हिसि गेलेया
᱙᱐,ninty
api hisi gel miyad,Seventy-One
अपि हिसि गेल मियद,᱗᱑
api hisi gel miyad,᱗᱑
api hisi gel miyad,अपि हिसि गेल मियद
᱗᱑,Seventy-One
api hisi gel bariya,seventy-two
अपि हिसि गेल बरिया,᱗᱒
api hisi gel bariya,᱗᱒
api hisi gel bariya,अपि हिसि गेल बरिया
᱗᱒,seventy-two
api hisi gel apiya,seventy-three
अपि हिसि गेल अपिया,᱗᱓
api hisi gel apiya,᱗᱓
api hisi gel apiya,अपि हिसि गेल अपिया
᱗᱓,seventy-three
api hisi gel upna,seventy-four
अपि हिसि गेल उपना,᱗᱔
api hisi gel upna,᱗᱔
api hisi gel upna,अपि हिसि गेल उपना
᱗᱔,seventy-four
api hisi gel modeya,seventy-five
अपि हिसि गेल मोड़ेया,᱗᱕
api hisi gel modeya,᱗᱕
api hisi gel modeya,अपि हिसि गेल मोड़ेया
᱗᱕,seventy-five
api hisi gel turiya,seventy-six
अपि हिसि गेल तुरिया,᱗᱖
api hisi gel turiya,᱗᱖
api hisi gel turiya,अपि हिसि गेल तुरिया
᱗᱖,seventy-six
api hisi gel eya,seventy-seven
अपि हिसि गेल एया,᱗᱗
api hisi gel eya,᱗᱗
api hisi gel eya,अपि हिसि गेल एया
᱗᱗,seventy-seven
api hisi gel erliya,seventy-eight
अपि हिसि गेल एरलिया,᱗᱘
api hisi gel erliya,᱗᱘
api hisi gel erliya,अपि हिसि गेल एरलिया
᱗᱘,seventy-eight
api hisi gel ariya,seventy-nine
अपि हिसि गेल अरिया,᱗᱙
api hisi gel ariya,᱗᱙
api hisi gel ariya,अपि हिसि गेल अरिया
᱗᱙,seventy-nine
api hisi gel ariya,eighty
उपुन हिसि,᱘᱐
api hisi gel ariya,᱘᱐
api hisi gel ariya,उपुन हिसि
᱘᱐,eighty
upun hisi gel miyad,ninety-one
उपुन हिसि गेल मियद,᱙᱑
upun hisi gel miyad,᱙᱑
upun hisi gel miyad,उपुन हिसि गेल मियद
᱙᱑,ninety-one
upun hisi gel bariya,ninety-two
उपुन हिसि गेल बरिया,᱙᱒
upun hisi gel bariya,᱙᱒
upun hisi gel bariya,उपुन हिसि गेल बरिया
᱙᱒,ninety-two
upun hisi gel apiya,ninety-three
उपुन हिसि गेल अपिया,᱙᱓
upun hisi gel apiya,᱙᱓
upun hisi gel apiya,उपुन हिसि गेल अपिया
᱙᱓,ninety-three
upun hisi gel upna,ninety-four
उपुन हिसि गेल उपना,᱙᱔
upun hisi gel upna,᱙᱔
upun hisi gel upna,उपुन हिसि गेल उपना
᱙᱔,ninety-four
upun hisi gel modeya,ninety-five
उपुन हिसि गेल मोड़ेया,᱙᱕
upun hisi gel modeya,᱙᱕
upun hisi gel modeya,उपुन हिसि गेल मोड़ेया
᱙᱕,ninety-five
upun hisi gel turiya,ninety-six
उपुन हिसि गेल तुरिया,᱙᱖
upun hisi gel turiya,᱙᱖
upun hisi gel turiya,उपुन हिसि गेल तुरिया
᱙᱖,ninety-six
upun hisi gel eya,ninety-seven
उपुन हिसि गेल एया,᱙᱗
upun hisi gel eya,᱙᱗
upun hisi gel eya,उपुन हिसि गेल एया
᱙᱗,ninety-seven
upun hisi gel erliya,ninety-eight
उपुन हिसि गेल एरलिया,᱙᱘
upun hisi gel erliya,᱙᱘
upun hisi gel erliya,उपुन हिसि गेल एरलिया
᱙᱘,ninety-eight
upun hisi gel ariya,ninety-nine
उपुन हिसि गेल अरिया,᱙᱙
upun hisi gel ariya,᱙᱙
upun hisi gel ariya,उपुन हिसि गेल अरिया
᱙᱙,ninety-nine
moden hisi / mod sei, hundred
मोड़ें हिसि / मोद सै,᱑᱐᱐
moden hisi / mod sei,᱑᱐᱐
moden hisi / mod sei,मोड़ें हिसि / मोद सै
᱑᱐᱐, hundred
mocha,mouth
मोचा,ᱢᱚᱪᱟ
mocha,ᱢᱚᱪᱟ
mocha,मोचा
ᱢᱚᱪᱟ,mouth
aalang,Tongue
आलंग, ᱟᱞᱚᱝ
aalang, ᱟᱞᱚᱝ
aalang,आलंग
 ᱟᱞᱚᱝ,Tongue
kudum,Chest
कुडम,ᱠᱩᱰᱢ
kudum,ᱠᱩᱰᱢ
kudum,कुडम
ᱠᱩᱰᱢ,Chest
laajh,Stomach
लाजः,ᱞᱟᱡᱷ
laajh,ᱞᱟᱡᱷ
laajh,लाजः
ᱞᱟᱡᱷ,Stomach
chapal,bums/butts
चपल,ᱪᱟᱯᱞ
chapal,ᱪᱟᱯᱞ
chapal,चपल
ᱪᱟᱯᱞ,bums/butts
jangh,thigh
जांग,ᱡᱟᱝ
jangh,ᱡᱟᱝ
jangh,जांग
ᱡᱟᱝ,thigh
hoṛmo,Body
होड़मो,ᱦᱚᱰᱢᱚ
hoṛmo,ᱦᱚᱰᱢᱚ
hoṛmo,होड़मो
ᱦᱚᱰᱢᱚ,Body
mukuṛi,Knees
मुकुड़ी,ᱢᱩᱠᱩᱰᱤ
mukuṛi,ᱢᱩᱠᱩᱰᱤ
mukuṛi,मुकुड़ी
ᱢᱩᱠᱩᱰᱤ,Knees
ramāh,nails
रमाः,ᱨᱟᱢᱟᱦ
ramāh,ᱨᱟᱢᱟᱦ
ramāh,रमाः
ᱨᱟᱢᱟᱦ,nails
mayāng,Hips
मयांग,ᱢᱟᱭᱟᱝ
mayāng,ᱢᱟᱭᱟᱝ
mayāng,मयांग
ᱢᱟᱭᱟᱝ,Hips
jowa,Cheeks
जोवा,ᱡᱚᱣᱟ
jowa,ᱡᱚᱣᱟ
jowa,जोवा
ᱡᱚᱣᱟ,Cheeks
molong,forehead
मोलोंग,ᱢᱚᱞᱚᱝ
molong,ᱢᱚᱞᱚᱝ
molong,मोलोंग
ᱢᱚᱞᱚᱝ,forehead
med,eyes
मेद,ᱢᱮᱰ
med,ᱢᱮᱰ
med,मेद
ᱢᱮᱰ,eyes
muhu,nose
मुहू,ᱢᱩᱦᱩ
muhu,ᱢᱩᱦᱩ
muhu,मुहू
ᱢᱩᱦᱩ,nose
tetang,Thirsty
तेतंग,ᱛᱮᱛᱟᱝ
tetang,ᱛᱮᱛᱟᱝ
tetang,तेतंग
ᱛᱮᱛᱟᱝ,Thirsty
reṅge,Hungry
रेंगे,ᱨᱮᱝᱜᱮ
reṅge,ᱨᱮᱝᱜᱮ
reṅge,रेंगे
ᱨᱮᱝᱜᱮ,Hungry
gitil,sand
